place_type,user_answer
accounting,acompanado
accounting,acompanado
accounting,auto
accounting,bajo
accounting,caminando
accounting,medio
accounting,medio
accounting,no
accounting,no
accounting,no
accounting,no
accounting,relajado
accounting,solo
airport,acompanado
airport,acompanado
airport,acompanado
airport,alto
airport,alto
airport,alto
airport,alto
airport,alto
airport,auto
airport,auto
airport,auto
airport,auto
airport,bajo
airport,bajo
airport,bajo
airport,moderado
airport,no
airport,no
airport,solo
airport,solo
airport,solo
airport,transporte publico
airport,transporte publico
amusement_park,acompanado
amusement_park,acompanado
amusement_park,auto
amusement_park,auto
amusement_park,auto
amusement_park,bajo
amusement_park,bajo
amusement_park,caminando
amusement_park,medio
amusement_park,medio
amusement_park,medio
amusement_park,medio
amusement_park,moderado
amusement_park,moderado
amusement_park,moderado
amusement_park,si
amusement_park,si
amusement_park,si
amusement_park,si
amusement_park,solo
amusement_park,solo
aquarium,acompanado
aquarium,acompanado
aquarium,acompanado
aquarium,auto
aquarium,auto
aquarium,auto
aquarium,bajo
aquarium,bajo
aquarium,bajo
aquarium,caminando
aquarium,medio
aquarium,no
aquarium,no
aquarium,relajado
aquarium,solo
aquarium,solo
aquarium,solo
art_gallery,acompanado
art_gallery,acompanado
art_gallery,acompanado
art_gallery,acompanado
art_gallery,auto
art_gallery,auto
art_gallery,auto
art_gallery,auto
art_gallery,auto
art_gallery,auto
art_gallery,bajo
art_gallery,bajo
art_gallery,caminando
art_gallery,caminando
art_gallery,caminando
art_gallery,caminando
art_gallery,medio
art_gallery,medio
art_gallery,no
art_gallery,no
art_gallery,relajado
art_gallery,relajado
art_gallery,relajado
art_gallery,solo
art_gallery,solo
art_gallery,solo
atm,acompanado
atm,acompanado
atm,acompanado
atm,acompanado
atm,auto
atm,bajo
atm,bajo
atm,caminando
atm,caminando
atm,caminando
atm,medio
atm,no
atm,no
atm,no
atm,relajado
atm,solo
atm,solo
bakery,acompanado
bakery,acompanado
bakery,acompanado
bakery,auto
bakery,bajo
bakery,bajo
bakery,caminando
bakery,medio
bakery,medio
bakery,medio
bakery,relajado
bakery,si
bakery,si
bakery,solo
bakery,solo
bakery,solo
bakery,solo
bank,acompanado
bank,acompanado
